id,filename,theme_cn,theme_en,name_cn,slug,size,format,license,suggested_use,background_type,background_url_placeholder
bg_12,backgrounds/bg_12_gratitude_flower_shadow.jpg,感恩,gratitude,花影淡粉,gratitude_flower_shadow,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「感恩」主题卡片背景,image,/assets/backgrounds/bg_12_gratitude_flower_shadow.jpg
bg_13,backgrounds/bg_13_gratitude_paper_beige.jpg,感恩,gratitude,米色纸张,gratitude_paper_beige,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「感恩」主题卡片背景,image,/assets/backgrounds/bg_13_gratitude_paper_beige.jpg
bg_14,backgrounds/bg_14_gratitude_noon_table.jpg,感恩,gratitude,午后餐桌,gratitude_noon_table,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「感恩」主题卡片背景,image,/assets/backgrounds/bg_14_gratitude_noon_table.jpg
bg_15,backgrounds/bg_15_gratitude_soft_garden.jpg,感恩,gratitude,柔和花园,gratitude_soft_garden,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「感恩」主题卡片背景,image,/assets/backgrounds/bg_15_gratitude_soft_garden.jpg
bg_16,backgrounds/bg_16_action_desk_light.jpg,行动,action,书桌微光,action_desk_light,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「行动」主题卡片背景,image,/assets/backgrounds/bg_16_action_desk_light.jpg
bg_17,backgrounds/bg_17_action_forward_path.jpg,行动,action,道路向前,action_forward_path,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「行动」主题卡片背景,image,/assets/backgrounds/bg_17_action_forward_path.jpg
bg_18,backgrounds/bg_18_action_clean_lines.jpg,行动,action,清晨线条,action_clean_lines,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「行动」主题卡片背景,image,/assets/backgrounds/bg_18_action_clean_lines.jpg
bg_19,backgrounds/bg_19_action_stone_steps.jpg,行动,action,石阶上行,action_stone_steps,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「行动」主题卡片背景,image,/assets/backgrounds/bg_19_action_stone_steps.jpg
bg_20,backgrounds/bg_20_action_blue_plan.jpg,行动,action,蓝灰计划,action_blue_plan,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「行动」主题卡片背景,image,/assets/backgrounds/bg_20_action_blue_plan.jpg
bg_21,backgrounds/bg_21_faith_candle_book.jpg,信仰,faith,烛光书页,faith_candle_book,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「信仰」主题卡片背景,image,/assets/backgrounds/bg_21_faith_candle_book.jpg
bg_22,backgrounds/bg_22_faith_warm_silence.jpg,信仰,faith,静默暖光,faith_warm_silence,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「信仰」主题卡片背景,image,/assets/backgrounds/bg_22_faith_warm_silence.jpg
bg_23,backgrounds/bg_23_faith_window_prayer.jpg,信仰,faith,窗下祈祷,faith_window_prayer,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「信仰」主题卡片背景,image,/assets/backgrounds/bg_23_faith_window_prayer.jpg
bg_24,backgrounds/bg_24_faith_old_book.jpg,信仰,faith,古书浅光,faith_old_book,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「信仰」主题卡片背景,image,/assets/backgrounds/bg_24_faith_old_book.jpg
bg_25,backgrounds/bg_25_faith_night_light.jpg,信仰,faith,夜色一点光,faith_night_light,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「信仰」主题卡片背景,image,/assets/backgrounds/bg_25_faith_night_light.jpg
bg_26,backgrounds/bg_26_restraint_stone_water.jpg,节制,restraint,石与水,restraint_stone_water,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「节制」主题卡片背景,image,/assets/backgrounds/bg_26_restraint_stone_water.jpg
bg_27,backgrounds/bg_27_restraint_minimal_space.jpg,节制,restraint,极简留白,restraint_minimal_space,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「节制」主题卡片背景,image,/assets/backgrounds/bg_27_restraint_minimal_space.jpg
bg_28,backgrounds/bg_28_restraint_ink_hills.jpg,节制,restraint,淡墨山影,restraint_ink_hills,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「节制」主题卡片背景,image,/assets/backgrounds/bg_28_restraint_ink_hills.jpg
bg_29,backgrounds/bg_29_restraint_gray_green.jpg,节制,restraint,安静灰绿,restraint_gray_green,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「节制」主题卡片背景,image,/assets/backgrounds/bg_29_restraint_gray_green.jpg
bg_30,backgrounds/bg_30_restraint_sand_space.jpg,节制,restraint,浅沙之境,restraint_sand_space,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「节制」主题卡片背景,image,/assets/backgrounds/bg_30_restraint_sand_space.jpg
