card_id,date,quote_text,source,source_type,source_ref,theme,morning_action,noon_action,evening_action,background_type,background_url,color_theme,gradient_start,gradient_end,status,review_status,copyright_status,note
card_012,2026-06-14,清心的人有福了。,圣经·和合本,bible,马太福音 5:8,清醒,少看杂讯,清理桌面,静坐一会,gradient,,#E6ECEF,#E6ECEF,#F3EEE2,published,reviewed,public_domain_cuv_short_excerpt,
card_013,2026-06-15,你们的光也当这样照在人前。,圣经·和合本,bible,马太福音 5:16,行动,做一善事,不求夸奖,默默完成,gradient,,#F5E8DA,#F5E8DA,#E1E7D3,published,reviewed,public_domain_cuv_short_excerpt,
card_014,2026-06-16,寻找，就寻见。,圣经·和合本,bible,马太福音 7:7,学习,问一个题,查一页书,记一答案,gradient,,#E9F0E5,#E9F0E5,#F8F1DD,published,reviewed,public_domain_cuv_short_excerpt,
card_015,2026-06-17,敲门，就给你们开门。,圣经·和合本,bible,马太福音 7:7,行动,先开口,迈出一步,再试一次,gradient,,#F5E8DA,#F5E8DA,#E1E7D3,published,reviewed,public_domain_cuv_short_excerpt,
card_016,2026-06-18,不要论断人。,圣经·和合本,bible,马太福音 7:1,谦卑,少评一句,先看自己,保留判断,gradient,,#EEE8DD,#EEE8DD,#E4E8F1,published,reviewed,public_domain_cuv_short_excerpt,
card_017,2026-06-19,你们要灵巧像蛇，驯良像鸽子。,圣经·和合本,bible,马太福音 10:16,清醒,看清风险,温和表达,不急表态,gradient,,#E6ECEF,#E6ECEF,#F3EEE2,published,reviewed,public_domain_cuv_short_excerpt,
card_018,2026-06-20,不要怕，只要信。,圣经·和合本,bible,马可福音 5:36,勇气,写下害怕,做小一步,交托一事,gradient,,#F2E7D5,#F2E7D5,#D8E6F3,published,reviewed,public_domain_cuv_short_excerpt,
card_019,2026-06-21,在小事上忠心。,圣经·和合本,bible,路加福音 16:10,行动,做好一件,不拖小事,收好尾巴,gradient,,#F5E8DA,#F5E8DA,#E1E7D3,published,reviewed,public_domain_cuv_short_excerpt,
card_020,2026-06-22,施比受更为有福。,圣经·和合本,bible,使徒行传 20:35,感恩,让人一次,送出帮助,不求回报,gradient,,#FFF3D6,#FFF3D6,#F4E1C1,published,reviewed,public_domain_cuv_short_excerpt,
card_021,2026-06-23,总要尽力与众人和睦。,圣经·和合本,bible,罗马书 12:18,平安,少争输赢,先缓语气,结束争执,gradient,,#EAF3F7,#EAF3F7,#F7F0DF,published,reviewed,public_domain_cuv_short_excerpt,
card_022,2026-06-24,恶要厌恶，善要亲近。,圣经·和合本,bible,罗马书 12:9,诚实,避开诱惑,做正确事,自省一念,gradient,,#F7F1E3,#F7F1E3,#E9EDF0,published,reviewed,public_domain_cuv_short_excerpt,
card_023,2026-06-25,不可为恶所胜，反要以善胜恶。,圣经·和合本,bible,罗马书 12:21,勇气,不还恶语,做一善举,放下怨气,gradient,,#F2E7D5,#F2E7D5,#D8E6F3,published,reviewed,public_domain_cuv_short_excerpt,
card_024,2026-06-26,凡事都可行，但不都有益处。,圣经·和合本,bible,哥林多前书 10:23,节制,少刷五分,少买一样,早停一次,gradient,,#ECECEC,#ECECEC,#DDE5E2,published,reviewed,public_domain_cuv_short_excerpt,
card_025,2026-06-27,你们各人的重担要互相担当。,圣经·和合本,bible,加拉太书 6:2,爱,问候一人,分担一点,不嫌麻烦,gradient,,#F9E4DE,#F9E4DE,#F7F0E6,published,reviewed,public_domain_cuv_short_excerpt,
card_026,2026-06-28,不可贪图虚名。,圣经·和合本,bible,加拉太书 5:26,谦卑,少晒一次,低调完成,不争表现,gradient,,#EEE8DD,#EEE8DD,#E4E8F1,published,reviewed,public_domain_cuv_short_excerpt,
card_027,2026-06-29,行善不可丧志。,圣经·和合本,bible,加拉太书 6:9,忍耐,继续一事,少想结果,坚持一小步,gradient,,#EEEAE1,#EEEAE1,#DCE7E1,published,reviewed,public_domain_cuv_short_excerpt,
card_028,2026-06-30,你们要谨慎行事。,圣经·和合本,bible,以弗所书 5:15,清醒,慢做决定,核对一遍,早些停下,gradient,,#E6ECEF,#E6ECEF,#F3EEE2,published,reviewed,public_domain_cuv_short_excerpt,
card_029,2026-07-01,用爱心说诚实话。,圣经·和合本,bible,以弗所书 4:15,诚实,先说事实,语气放轻,不刺伤人,gradient,,#F7F1E3,#F7F1E3,#E9EDF0,published,reviewed,public_domain_cuv_short_excerpt,
card_030,2026-07-02,要常常喜乐。,圣经·和合本,bible,帖撒罗尼迦前书 5:16,希望,微笑一次,看见小好,少抱怨,gradient,,#F8EFE1,#F8EFE1,#DCE8D8,published,reviewed,public_domain_cuv_short_excerpt,
card_031,2026-07-03,己所不欲，勿施于人。,《论语》,classic,卫灵公,温柔,先换位,少强求,留余地,gradient,,#F6EDE8,#F6EDE8,#E6F0EA,published,reviewed,public_domain_or_original_translation,
card_032,2026-07-04,三人行，必有我师焉。,《论语》,classic,述而,学习,请教一人,学一小点,记一心得,gradient,,#E9F0E5,#E9F0E5,#F8F1DD,published,reviewed,public_domain_or_original_translation,
card_033,2026-07-05,知之为知之，不知为不知。,《论语》,classic,为政,诚实,承认不会,查清答案,不装懂,gradient,,#F7F1E3,#F7F1E3,#E9EDF0,published,reviewed,public_domain_or_original_translation,
card_034,2026-07-06,君子坦荡荡。,《论语》,classic,述而,诚实,说清一事,不藏小错,心里放正,gradient,,#F7F1E3,#F7F1E3,#E9EDF0,published,reviewed,public_domain_or_original_translation,
card_035,2026-07-07,学而时习之，不亦说乎。,《论语》,classic,学而,学习,复习一页,练习一次,标记一处,gradient,,#E9F0E5,#E9F0E5,#F8F1DD,published,reviewed,public_domain_or_original_translation,
card_036,2026-07-08,生于忧患，死于安乐。,《孟子》,classic,告子下,勇气,面对难处,不逃一步,保持警醒,gradient,,#F2E7D5,#F2E7D5,#D8E6F3,published,reviewed,public_domain_or_original_translation,
card_037,2026-07-09,穷则独善其身，达则兼善天下。,《孟子》,classic,尽心上,谦卑,先修自己,帮一小忙,不夸其功,gradient,,#EEE8DD,#EEE8DD,#E4E8F1,published,reviewed,public_domain_or_original_translation,
card_038,2026-07-10,知止而后有定。,《大学》,classic,经一章,专注,定一边界,少做一项,守住重点,gradient,,#E8EFF7,#E8EFF7,#F8F4E8,published,reviewed,public_domain_or_original_translation,
card_039,2026-07-11,凡事豫则立，不豫则废。,《中庸》,classic,第二十章,行动,列一小步,提前准备,检查一次,gradient,,#F5E8DA,#F5E8DA,#E1E7D3,published,reviewed,public_domain_or_original_translation,
card_040,2026-07-12,千里之行，始于足下。,《道德经》,classic,第六十四章,行动,迈出一步,做五分钟,不断不急,gradient,,#F5E8DA,#F5E8DA,#E1E7D3,published,reviewed,public_domain_or_original_translation,
card_041,2026-07-13,知足不辱，知止不殆。,《道德经》,classic,第四十四章,节制,少要一样,及时停手,感谢已有,gradient,,#ECECEC,#ECECEC,#DDE5E2,published,reviewed,public_domain_or_original_translation,
card_042,2026-07-14,上善若水。,《道德经》,classic,第八章,温柔,顺势而行,不硬碰撞,润物无声,gradient,,#F6EDE8,#F6EDE8,#E6F0EA,published,reviewed,public_domain_or_original_translation,
card_043,2026-07-15,吾生也有涯，而知也无涯。,《庄子》,classic,养生主,学习,选一问题,读一小段,不贪多,gradient,,#E9F0E5,#E9F0E5,#F8F1DD,published,reviewed,public_domain_or_original_translation,
card_044,2026-07-16,天行健，君子以自强不息。,《易经》,classic,乾卦,勇气,早起一步,先做难事,不怨自己,gradient,,#F2E7D5,#F2E7D5,#D8E6F3,published,reviewed,public_domain_or_original_translation,
card_045,2026-07-17,地势坤，君子以厚德载物。,《易经》,classic,坤卦,谦卑,多听一句,包容一处,少计较,gradient,,#EEE8DD,#EEE8DD,#E4E8F1,published,reviewed,public_domain_or_original_translation,
card_046,2026-07-18,高山仰止，景行行止。,《诗经》,classic,小雅·车辖,学习,找一榜样,学一动作,自省一处,gradient,,#E9F0E5,#E9F0E5,#F8F1DD,published,reviewed,public_domain_or_original_translation,
card_047,2026-07-19,路漫漫其修远兮，吾将上下而求索。,《楚辞》,classic,离骚,勇气,不急答案,继续寻找,记下发现,gradient,,#F2E7D5,#F2E7D5,#D8E6F3,published,reviewed,public_domain_or_original_translation,
card_048,2026-07-20,宠辱不惊。,《菜根谭》,classic,明代洪应明,平安,少看评价,稳住语气,淡看得失,gradient,,#EAF3F7,#EAF3F7,#F7F0DF,published,reviewed,public_domain_or_original_translation,
card_049,2026-07-21,静坐常思己过。,《增广贤文》,classic,传统蒙学,清醒,自省一错,改一小处,不责别人,gradient,,#E6ECEF,#E6ECEF,#F3EEE2,published,reviewed,public_domain_or_original_translation,
card_050,2026-07-22,纸上得来终觉浅，绝知此事要躬行。,陆游诗,classic,《冬夜读书示子聿》,行动,亲手试试,少空想,做后再说,gradient,,#F5E8DA,#F5E8DA,#E1E7D3,published,reviewed,public_domain_or_original_translation,
card_051,2026-07-23,凡是过往，皆为序章。,莎士比亚,classic,改写自《暴风雨》,希望,放下旧事,做当前事,开始一小步,gradient,,#F8EFE1,#F8EFE1,#DCE8D8,published,reviewed,public_domain_or_original_translation,
card_052,2026-07-24,闪光的未必都是金子。,莎士比亚,classic,改写自《威尼斯商人》,清醒,不急羡慕,看清代价,少被诱惑,gradient,,#E6ECEF,#E6ECEF,#F3EEE2,published,reviewed,public_domain_or_original_translation,
card_053,2026-07-25,我们知道我们是什么，却不知道能成为什么。,莎士比亚,classic,改写自《哈姆雷特》,希望,承认现在,试一新步,保留可能,gradient,,#F8EFE1,#F8EFE1,#DCE8D8,published,reviewed,public_domain_or_original_translation,
card_054,2026-07-26,幸福的家庭彼此相似。,托尔斯泰,classic,改写自《安娜·卡列尼娜》,爱,关心家人,少冷一句,早些回应,gradient,,#F9E4DE,#F9E4DE,#F7F0E6,published,reviewed,public_domain_or_original_translation,
card_055,2026-07-27,重要的不是活着，而是好好地活着。,柏拉图《申辩篇》,classic,苏格拉底思想转述,诚实,做正当事,不欺自己,守一原则,gradient,,#F7F1E3,#F7F1E3,#E9EDF0,published,reviewed,public_domain_or_original_translation,
card_056,2026-07-28,人不是被事情困住，而是被看法困住。,爱比克泰德,classic,思想概括,清醒,换个看法,少下结论,重看一事,gradient,,#E6ECEF,#E6ECEF,#F3EEE2,published,reviewed,public_domain_or_original_translation,
card_057,2026-07-29,你的内心有力量。,马可·奥勒留,classic,《沉思录》思想概括,勇气,稳住呼吸,守住判断,做应做事,gradient,,#F2E7D5,#F2E7D5,#D8E6F3,published,reviewed,public_domain_or_original_translation,
card_058,2026-07-30,今天我遇见的人，也在承受自己的重担。,马可·奥勒留,classic,《沉思录》思想概括,温柔,少苛责,多问一句,放轻语气,gradient,,#F6EDE8,#F6EDE8,#E6F0EA,published,reviewed,public_domain_or_original_translation,
card_059,2026-07-31,人能忍受生活，只要看见意义。,陀思妥耶夫斯基,classic,思想概括,希望,找一意义,守一责任,不弃今天,gradient,,#F8EFE1,#F8EFE1,#DCE8D8,published,reviewed,public_domain_or_original_translation,
card_060,2026-08-01,最朴素的生活，也能有清醒的喜悦。,梭罗,classic,《瓦尔登湖》思想概括,节制,少买一样,静看一景,早些休息,gradient,,#ECECEC,#ECECEC,#DDE5E2,published,reviewed,public_domain_or_original_translation,
card_061,2026-08-02,知行合一。,王阳明,thought,思想概括,行动,定一事,马上做,看结果,gradient,,#F5E8DA,#F5E8DA,#E1E7D3,published,reviewed,original_short_saying_or_public_domain_reference,
card_062,2026-08-03,破山中贼易，破心中贼难。,王阳明,thought,思想概括,清醒,看见欲望,停一下手,守一原则,gradient,,#E6ECEF,#E6ECEF,#F3EEE2,published,reviewed,original_short_saying_or_public_domain_reference,
card_063,2026-08-04,事上磨练。,王阳明,thought,思想概括,行动,别逃事情,就地练习,做完再评,gradient,,#F5E8DA,#F5E8DA,#E1E7D3,published,reviewed,original_short_saying_or_public_domain_reference,
card_064,2026-08-05,吾日三省吾身。,曾子,thought,《论语·学而》,清醒,问自己,改一小处,不怪别人,gradient,,#E6ECEF,#E6ECEF,#F3EEE2,published,reviewed,original_short_saying_or_public_domain_reference,
card_065,2026-08-06,不积跬步，无以至千里。,荀子,thought,《劝学》,行动,走一小步,做五分钟,明日再来,gradient,,#F5E8DA,#F5E8DA,#E1E7D3,published,reviewed,original_short_saying_or_public_domain_reference,
card_066,2026-08-07,青，取之于蓝，而青于蓝。,荀子,thought,《劝学》,学习,学一榜样,练一小点,超过昨天,gradient,,#E9F0E5,#E9F0E5,#F8F1DD,published,reviewed,original_short_saying_or_public_domain_reference,
card_067,2026-08-08,君子慎独。,《礼记》,thought,《中庸》思想,诚实,独处不欺,守住一念,不做暗错,gradient,,#F7F1E3,#F7F1E3,#E9EDF0,published,reviewed,original_short_saying_or_public_domain_reference,
card_068,2026-08-09,慎终如始，则无败事。,《道德经》,thought,第六十四章,忍耐,收好尾巴,检查一遍,不急结束,gradient,,#EEEAE1,#EEEAE1,#DCE7E1,published,reviewed,original_short_saying_or_public_domain_reference,
card_069,2026-08-10,胜人者有力，自胜者强。,《道德经》,thought,第三十三章,节制,克制一次,不逞口舌,赢过自己,gradient,,#ECECEC,#ECECEC,#DDE5E2,published,reviewed,original_short_saying_or_public_domain_reference,
card_070,2026-08-11,知人者智，自知者明。,《道德经》,thought,第三十三章,清醒,看清自己,承认一短,少评别人,gradient,,#E6ECEF,#E6ECEF,#F3EEE2,published,reviewed,original_short_saying_or_public_domain_reference,
card_071,2026-08-12,慢就是稳，稳就是快。,民间格言,thought,思想概括,专注,放慢节奏,做准一步,不急切换,gradient,,#E8EFF7,#E8EFF7,#F8F4E8,published,reviewed,original_short_saying_or_public_domain_reference,
card_072,2026-08-13,少即是多。,现代设计思想,thought,思想概括,节制,删一杂事,留一重点,简化今天,gradient,,#ECECEC,#ECECEC,#DDE5E2,published,reviewed,original_short_saying_or_public_domain_reference,
card_073,2026-08-14,完成比完美重要。,行动格言,thought,思想概括,行动,先交一版,改一小处,别等完美,gradient,,#F5E8DA,#F5E8DA,#E1E7D3,published,reviewed,original_short_saying_or_public_domain_reference,
card_074,2026-08-15,先做最小一步。,行为设计思想,thought,思想概括,行动,打开页面,写下开头,做两分钟,gradient,,#F5E8DA,#F5E8DA,#E1E7D3,published,reviewed,original_short_saying_or_public_domain_reference,
card_075,2026-08-16,你能控制的，是下一步。,斯多葛思想,thought,思想概括,清醒,放下结果,管住动作,守住当下,gradient,,#E6ECEF,#E6ECEF,#F3EEE2,published,reviewed,original_short_saying_or_public_domain_reference,
card_076,2026-08-17,把注意力放回手边。,专注练习,thought,思想概括,专注,关掉杂讯,只做一事,看完一页,gradient,,#E8EFF7,#E8EFF7,#F8F4E8,published,reviewed,original_short_saying_or_public_domain_reference,
card_077,2026-08-18,不是每个念头都要相信。,认知训练,thought,思想概括,清醒,看见念头,暂停判断,换个说法,gradient,,#E6ECEF,#E6ECEF,#F3EEE2,published,reviewed,original_short_saying_or_public_domain_reference,
card_078,2026-08-19,愤怒来时，先慢三秒。,情绪练习,thought,思想概括,节制,停三秒,少说一句,离开片刻,gradient,,#ECECEC,#ECECEC,#DDE5E2,published,reviewed,original_short_saying_or_public_domain_reference,
card_079,2026-08-20,诚实，是轻装前行。,人生格言,thought,思想概括,诚实,承认事实,补一个漏,不再遮掩,gradient,,#F7F1E3,#F7F1E3,#E9EDF0,published,reviewed,original_short_saying_or_public_domain_reference,
card_080,2026-08-21,温柔不是软弱。,人生格言,thought,思想概括,温柔,语气放低,手势放慢,不伤别人,gradient,,#F6EDE8,#F6EDE8,#E6F0EA,published,reviewed,original_short_saying_or_public_domain_reference,
card_081,2026-08-22,自由始于节制。,哲学格言,thought,思想概括,节制,少吃一点,少刷一下,早停一次,gradient,,#ECECEC,#ECECEC,#DDE5E2,published,reviewed,original_short_saying_or_public_domain_reference,
card_082,2026-08-23,真正的勇敢，是仍然去做。,人生格言,thought,思想概括,勇气,承认害怕,先做一步,不逃今天,gradient,,#F2E7D5,#F2E7D5,#D8E6F3,published,reviewed,original_short_saying_or_public_domain_reference,
card_083,2026-08-24,感恩能把心带回当下。,人生格言,thought,思想概括,感恩,看见拥有,谢一个人,记一小福,gradient,,#FFF3D6,#FFF3D6,#F4E1C1,published,reviewed,original_short_saying_or_public_domain_reference,
card_084,2026-08-25,把小事做好，就是修行。,生活格言,thought,思想概括,行动,洗好杯子,收好桌面,完成收尾,gradient,,#F5E8DA,#F5E8DA,#E1E7D3,published,reviewed,original_short_saying_or_public_domain_reference,
card_085,2026-08-26,别急着证明自己。,人生格言,thought,思想概括,谦卑,少解释,多做事,让时间说,gradient,,#EEE8DD,#EEE8DD,#E4E8F1,published,reviewed,original_short_saying_or_public_domain_reference,
card_086,2026-08-27,问题越大，步骤越小。,行为设计思想,thought,思想概括,行动,拆成一格,做第一格,停止空想,gradient,,#F5E8DA,#F5E8DA,#E1E7D3,published,reviewed,original_short_saying_or_public_domain_reference,
card_087,2026-08-28,耐心，是把时间交给过程。,人生格言,thought,思想概括,忍耐,等待一下,持续一点,不催结果,gradient,,#EEEAE1,#EEEAE1,#DCE7E1,published,reviewed,original_short_saying_or_public_domain_reference,
card_088,2026-08-29,清醒比热闹更珍贵。,人生格言,thought,思想概括,清醒,少凑热闹,独处片刻,想清一事,gradient,,#E6ECEF,#E6ECEF,#F3EEE2,published,reviewed,original_short_saying_or_public_domain_reference,
card_089,2026-08-30,爱在具体处。,生活格言,thought,思想概括,爱,倒一杯水,回一条信,等一个人,gradient,,#F9E4DE,#F9E4DE,#F7F0E6,published,reviewed,original_short_saying_or_public_domain_reference,
card_090,2026-08-31,今天不必很多，只要不断。,行动格言,thought,思想概括,忍耐,做一点点,保留余力,明天继续,gradient,,#EEEAE1,#EEEAE1,#DCE7E1,published,reviewed,original_short_saying_or_public_domain_reference,
